track_id,filename,title,Duration,Size,
1,A Commotion.mp3,A Commotion,233,6904,
2,Alabama Blues.mp3,Alabama Blues,439,6865,
3,Alice's Restaurant Massacree.mp3,Alice's Restaurant Massacre,1111,34731,
4,All The Young Dudes.mp3,All The Young Dudes (David Bowie),232,9081,
5,Alligator Sky.mp3,Alligator Sky,195,6176,
6,American Heart.mp3,American Heart,230,9069,
7,American Pie.mp3,American Pie,512,20045,
8,Aqualung.mp3,Aqualung,397,11596,
9,Ashes By Now.mp3,Ashes By Now,251,9851,
10,Ashes By Now.mp3,Ashes By Now,252,9880,
11,Big Jet Plane (Radio Edit).mp3,Big Jet Plane (Radio Edit),223,8776,
12,Bird Song.mp3,Bird Song,213,3338,
13,Boogie On Reggae Woman.mp3,Boogie On Reggae Woman,314,10894,
14,Brazilian Stomp.mp3,Brazilian Stomp,339,10605,
15,Bring Me Home.mp3,Bring Me Home,365,11428,
16,C'est La Mort.mp3,C'est La Mort,149,4094,
17,Chicken on a Raft.mp3,Chicken on a Raft,210,6583,
18,"Don't Think Twice, It's All Right.mp3","Don't Think Twice, It's All Right",301,11766,
19,Eagle Plume Dancer.mp3,Eagle Plume Dancer,145,2269,
20,Earth And Sky.mp3,Earth & Sky,208,5984,
21,Everybody's Fool.mp3,Everybody's Fool,197,7893,
22,Fake Tales Of San Francisco.mp3,Fake Tales Of San Francisco,181,7271,
23,Fields of Gold.mp3,Fields of Gold,214,8382,
24,Fire.mp3,Fire,206,6465,
25,Fortune Teller.mp3,Fortune Teller,207,4866,
26,Free Bird Live [Fox Theater].mp3,Free Bird Live [Fox Theatre],816,25506,
27,French Letter.mp3,French Letter,276,8646,
28,Got The Love - 2009.mp3,Got The Love,227,8874,
29,Great Southern Land.mp3,Great Southern Land,319,12468,
30,Hallelujah.mp3,Hallelujah,211,8263,
31,Hard Travelin' Hootenanny.mp3,Hard Travelin' Hootenanny,210,6588,
32,He Aha Ra Te Manu.mp3,He Aha Ra Te Manu,143,4444,
33,fear.mp3,Hey,262,4101,
34,Hineraukatauri (Goddess of Music).mp3,Hineraukatauri (Goddess of Music),294,9222,
35,Hopeless Wanderer.mp3,Hopeless Wanderer,307,10236,
36,How do you plead.mp3,How do you plead,400,6251,
