43,1
82,1
61,2
88,2
65,3
94,3
11,5
11,4
22,6
92,6
3,7
31,7
84,7
17,76
28,8
37,8
41,9
44,9
50,10
19,11
18,12
81,12
69,12
70,13
55,14
48,16
48,15
83,17
67,19
67,18
77,21
77,20
93,37
62,36
62,37
73,36
73,37
7,22
14,23
64,24
59,25
21,26
6,27
1,28
72,29
38,30
46,31
30,32
27,19
57,19
68,19
29,33
58,34
71,35
63,36
74,36
8,38
87,39
9,40
10,40
26,42
89,43
4,45
4,44
39,46
15,46
90,47
54,47
35,48
42,49
85,50
34,51
5,52
80,53
49,54
56,54
78,55
45,56
51,57
60,57
33,58
24,59
2,60
36,60
53,21
13,62
75,63
16,64
95,65
91,66
40,67
12,68
66,69
23,70
20,71
32,71
76,72
86,73
47,74
25,75
52,75
79,75
